from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
31	31	MN1_2547756	MN1_2547756	1	2547757	2547757	chr1	5.18190530781183	0.001	0.003
32	32	MN1_2548265	MN1_2548265	1	2548242	2548242	chr1	5.20475946840198	0.001	0.003
33	33	MN1_2696683	MN1_2696683	1	2696676	2696676	chr1	5.00027615618718	0.001	0.005
34	34	NMSNP1_2844525	NMSNP1_2844525	1	NA	NA	chr1	4.89499394698499	0.001	0.005
35	35	MN1_2991816	MN1_2991816	1	2991817	2991817	chr1	4.83166696515971	0.001	0.005
36	36	MN1_3041659	MN1_3041659	1	3041654	3041654	chr1	4.75046745157501	0.001	0.005
37	37	PHYA_6473	PHYA_6473	1	3095020	3095020	chr1	4.63080246821888	0.001	0.005
38	38	PHYA_924	PHYA_924	1	3100564	3100564	chr1	4.54964182514085	0.001	0.005
39	39	PHYA_119	PHYA_119	1	3101309	3101309	chr1	4.62322827398465	0.001	0.005
40	40	MN1_3169209	MN1_3169209	1	3169210	3169210	chr1	4.65538281457331	0.001	0.005
41	41	MN1_3229670	MN1_3229670	1	3229849	3229849	chr1	4.49381319794039	0.001	0.005
42	42	MN1_3294749	MN1_3294749	1	3294750	3294750	chr1	4.50785021080983	0.001	0.005
43	43	MN1_3398242	MN1_3398242	1	3398243	3398243	chr1	4.41226650635557	0.001	0.009
44	44	MASC09203	MASC09203	1	3487276	3487276	chr1	4.57415304972211	0.001	0.005
45	45	MASC00490	MASC00490	1	3502817	3502817	chr1	4.45833304178945	0.001	0.006
46	46	MN1_3503859	MN1_3503859	1	3503860	3503860	chr1	4.59714886921408	0.001	0.005
47	47	MN1_3645500	MN1_3645500	1	3645501	3645501	chr1	4.61512644590921	0	0.005
48	48	MN1_3678711	MN1_3678711	1	3678712	3678712	chr1	4.96518450276176	0	0.005
49	49	MN1_3798407	MN1_3798407	1	3798408	3798408	chr1	5.11194624582165	0	0.003
50	50	MN1_3872522	MN1_3872522	1	3872523	3872523	chr1	5.24997915986934	0	0.003
51	51	MN1_3941311	MN1_3941311	1	3941312	3941312	chr1	5.05174151049957	0	0.004
52	52	MN1_4041372	MN1_4041372	1	4041373	4041373	chr1	4.60918093188092	0.001	0.005
53	53	MN1_4096221	MN1_4096221	1	4096220	4096220	chr1	4.54175610238643	0.001	0.005
54	54	MN1_4142767	MN1_4142767	1	4142767	4142767	chr1	4.54223420300653	0.001	0.005
55	55	MN1_4248888	MN1_4248888	1	4248889	4248889	chr1	4.81160967258849	0	0.005
56	56	MN1_4317541	MN1_4317541	1	4317529	4317529	chr1	5.05542427496203	0	0.004
57	57	MN1_4396426	MN1_4396426	1	4396426	4396426	chr1	5.50399218589498	0	0.003
58	58	MN1_4529322	MN1_4529322	1	4529323	4529323	chr1	5.83795660546273	0	0.001
59	59	MN1_4569396	MN1_4569396	1	4569397	4569397	chr1	5.96724815355012	0	0.001
60	60	MN1_4671355	MN1_4671355	1	4671356	4671356	chr1	5.47318575072793	0	0.003
61	61	MN1_4947324	MN1_4947324	1	4947324	4947324	chr1	5.18886298107521	0	0.003
62	62	MN1_4992106	MN1_4992106	1	4992107	4992107	chr1	4.79701159930481	0	0.005
63	63	MN1_5095606	MN1_5095606	1	5095607	5095607	chr1	4.5221135426487	0	0.005
64	64	GAI_173	GAI_173	1	5148222	5148222	chr1	4.35516226678652	0	0.01
65	65	GAI_2211	GAI_2211	1	5150177	5150177	chr1	3.84002569376021	0	0.033
66	66	MN1_5206767	MN1_5206767	1	5206768	5206768	chr1	3.40214312135745	0.001	0.084
67	67	MN1_5206981	MN1_5206981	1	5206982	5206982	chr1	3.5189604049626	0.001	0.073
68	68	MN1_5290742	MN1_5290742	1	5290743	5290743	chr1	3.4830131465593	0.001	0.076
69	69	MASC00816	MASC00816	1	5401398	5401398	chr1	3.28524215428428	0.002	0.105
70	70	MASC00820	MASC00820	1	5447587	5447587	chr1	3.14552085427822	0.001	0.132
71	71	MN1_5482065	MN1_5482065	1	5482063	5482063	chr1	3.35851305635813	0.001	0.092
72	72	SPS1_151	SPS1_151	1	5608983	5608983	chr1	3.82471305446773	0	0.035
73	73	MN1_5628735	MN1_5628735	1	5628736	5628736	chr1	3.66736694735347	0	0.053
74	74	MN1_5669326	MN1_5669326	1	5669327	5669327	chr1	3.81117341983733	0	0.036
75	75	MN1_5860106	MN1_5860106	1	5860196	5860196	chr1	3.75080951630359	0	0.044
76	76	MN1_5860511	MN1_5860511	1	5860512	5860512	chr1	3.70323913901474	0	0.047
77	77	MASC00503	MASC00503	1	5878615	5878615	chr1	3.42507706956306	0.001	0.082
78	78	MASC02743	MASC02743	1	5898230	5898230	chr1	3.40426978076305	0.002	0.083
79	79	MN1_5923042	MN1_5923042	1	5923042	5923042	chr1	3.55103269107854	0	0.066
80	80	NMSNP1_5923293	NMSNP1_5923293	1	NA	NA	chr1	3.93575812732838	0	0.027
81	81	MFT_113	MFT_113	1	6227478	6227478	chr1	3.95817760417097	0	0.026
82	82	MFT_668	MFT_668	1	6228033	6228033	chr1	3.9949684136392	0	0.025
83	83	MFT_2488	MFT_2488	1	6229825	6229825	chr1	4.00878848261044	0	0.024
84	84	MFT_3459	MFT_3459	1	6230790	6230790	chr1	3.96543598030342	0	0.026
85	85	BUD1_34	BUD1_34	1	6315843	6315843	chr1	3.40224240701382	0.001	0.084
86	86	BUD1_348	BUD1_348	1	6316157	6316157	chr1	4.07275499474285	0	0.021
87	87	MASC03577	MASC03577	1	6672676	6672676	chr1	3.9875207136086	0	0.026
88	88	MASC04085	MASC04085	1	6826500	6826500	chr1	4.01361514638377	0	0.024
89	89	NMSNP1_6833309	NMSNP1_6833309	1	NA	NA	chr1	3.99850822149790	0	0.024
90	90	MP_68	MP_68	1	6889606	6889606	chr1	3.81442215283655	0	0.036
91	91	MASC07242	MASC07242	1	6940520	6940520	chr1	3.36466871679388	0	0.091
92	92	NMSNP1_6941245	NMSNP1_6941245	1	NA	NA	chr1	4.04050794734367	0	0.023
93	93	NMSNP1_7096171	NMSNP1_7096171	1	NA	NA	chr1	4.23971763213361	0	0.013
94	94	MASC1	MASC1	1	7301067	7301067	chr1	4.35557822256513	0	0.01
95	95	MASC2	MASC2	1	7497681	7497681	chr1	4.60344194952083	0	0.005
96	96	NMSNP1_7672828	NMSNP1_7672828	1	NA	NA	chr1	4.97999346462184	0	0.005
97	97	NMSNP1_7735482	NMSNP1_7735482	1	NA	NA	chr1	5.04633900760604	0	0.004
98	98	GI_123	GI_123	1	8060816	8060816	chr1	4.64249221866505	0	0.005
99	99	GI_511	GI_511	1	8061201	8061201	chr1	5.28237490301545	0	0.003
100	100	GI_2067	GI_2067	1	8062723	8062723	chr1	5.33277403893636	0	0.003
101	101	GI_2186	GI_2186	1	8062842	8062842	chr1	4.92062582206195	0	0.005
102	102	GI_5292	GI_5292	1	8065930	8065930	chr1	5.85773046679461	0	0.001
103	103	BKN923	BKN923	1	8385007	8385007	chr1	5.82983613157623	0	0.001
104	104	PFT1_6609	PFT1_6609	1	8969343	8969343	chr1	7.40011853549086	0	0
105	105	PFT1_5341	PFT1_5341	1	8970569	8970569	chr1	7.03872966384967	0	0
106	106	PFT1_3782	PFT1_3782	1	8972128	8972128	chr1	6.99588151810614	0	0
107	107	PFT1_2195	PFT1_2195	1	8973715	8973715	chr1	6.75636553718656	0	0
108	108	PFT1_1656	PFT1_1656	1	8974254	8974254	chr1	6.61427178698854	0	0
109	109	PFT1_1066	PFT1_1066	1	8974843	8974843	chr1	6.4412608592699	0	0
110	110	CAL_454	CAL_454	1	9101749	9101749	chr1	6.8567389680877	0	0
111	111	SGCSNP17579	SGCSNP17579	1	9240802	9240802	chr1	7.05763249374671	0	0
112	112	MASC05303	MASC05303	1	9362040	9362040	chr1	6.36916313233678	0	0
113	113	MASC00393	MASC00393	1	9516363	9516363	chr1	6.47362961635878	0	0
114	114	MASC04947	MASC04947	1	9600391	9600391	chr1	6.72510315714272	0	0
115	115	NMSNP1_9973291	NMSNP1_9973291	1	NA	NA	chr1	6.30886066235918	0	0
116	116	MN1_10095364	MN1_10095364	1	10095364	10095364	chr1	5.87260775042154	0	0.001
117	117	MN1_10176455	MN1_10176455	1	10176456	10176456	chr1	5.58187186489962	0	0.002
118	118	MN1_10423523	MN1_10423523	1	10423524	10423524	chr1	6.59461369225302	0	0
119	119	MN1_10423673	MN1_10423673	1	10423675	10423675	chr1	6.6951553684182	0	0
120	120	MN1_10547598	MN1_10547598	1	10547599	10547599	chr1	6.61170249945836	0	0
121	121	NMSNP1_10720273	NMSNP1_10720273	1	NA	NA	chr1	6.44887205245686	0	0
122	122	MN1_10841443	MN1_10841443	1	10841444	10841444	chr1	6.15410337427481	0	0
123	123	MN1_10983877	MN1_10983877	1	10983863	10983863	chr1	6.25794877334182	0	0
124	124	NMSNP1_11037297	NMSNP1_11037297	1	NA	NA	chr1	6.2541635347843	0	0
125	125	MASC03534	MASC03534	1	11037670	11037670	chr1	6.24567619893934	0	0
126	126	MASC02650	MASC02650	1	11070715	11070715	chr1	6.42350917660417	0	0
127	127	MN1_11160016	MN1_11160016	1	11159764	11159764	chr1	6.56951522869397	0	0
128	128	MN1_11159773	MN1_11159773	1	11159834	11159834	chr1	7.2303956657939	0	0
129	129	MASC01991	MASC01991	1	11215257	11215257	chr1	7.80803781608404	0	0
130	130	NMSNP1_11399885	NMSNP1_11399885	1	NA	NA	chr1	7.02595435270162	0	0
131	131	FRL2_2232	FRL2_2232	1	11412655	11412655	chr1	7.20486784766393	0	0
132	132	MN1_11466199	MN1_11466199	1	11466167	11466167	chr1	7.41904506077149	0	0
133	133	MN1_11553514	MN1_11553514	1	11553515	11553515	chr1	7.70203559379717	0	0
134	134	MN1_11655695	MN1_11655695	1	11655520	11655520	chr1	8.4751416572014	0	0
135	135	MN1_11850148	MN1_11850148	1	11850149	11850149	chr1	8.83332337954481	0	0
136	136	MN1_12093546	MN1_12093546	1	12093547	12093547	chr1	9.21330303542906	0	0
137	137	MASC00317	MASC00317	1	12207998	12207998	chr1	10.3230567204221	0	0
138	138	PERL0107626	PERL0107626	1	12646729	12646729	chr1	10.2515013867013	0	0
139	139	MN1_12892627	MN1_12892627	1	12892621	12892621	chr1	10.2308947544861	0	0
140	140	NMSNP1_13090493	NMSNP1_13090493	1	NA	NA	chr1	10.0886896655370	0	0
141	141	SGCSNP10165	SGCSNP10165	1	13201132	13201132	chr1	9.56804922924139	0	0
142	142	MASC03490	MASC03490	1	13218353	13218353	chr1	10.1756402757413	0	0
143	143	MN1_13541819	MN1_13541819	1	13541820	13541820	chr1	10.1262589023158	0	0
144	144	MN1_13671674	MN1_13671674	1	13671675	13671675	chr1	9.15695295605174	0	0
145	145	MASC02571	MASC02571	1	13833393	13833393	chr1	7.48040412928687	0	0
146	146	MASC02577	MASC02577	1	13833649	13833649	chr1	7.30499719266745	0	0
147	147	MN1_14162893	MN1_14162893	1	14162894	14162894	chr1	7.2881312915945	0	0
148	148	PERL0126101	PERL0126101	1	14924928	14924928	chr1	7.8704789108113	0	0
149	149	PERL0126888	PERL0126888	1	15527887	15527887	chr1	7.81423892695063	0	0
150	150	PERL0128810	PERL0128810	1	15768057	15768057	chr1	7.21219499829673	0	0
151	151	MASC04128	MASC04128	1	15930563	15930563	chr1	7.43052140402141	0	0
152	152	NMSNP1_15977186	NMSNP1_15977186	1	NA	NA	chr1	7.45754164148111	0	0
153	153	MASC03083	MASC03083	1	16130993	16130993	chr1	7.41563195704142	0	0
154	154	PERL0132168	PERL0132168	1	16137368	16137368	chr1	7.57811837013881	0	0
155	155	PERL0133385	PERL0133385	1	16254223	16254223	chr1	6.86461948473881	0	0
156	156	MASC04211	MASC04211	1	16646979	16646979	chr1	6.67791335626684	0	0
157	157	MASC06784	MASC06784	1	16874328	16874328	chr1	6.97209593823202	0	0
158	158	MN1_16874540	MN1_16874540	1	16874541	16874541	chr1	5.99622036031284	0	0.001
159	159	MN1_17151137	MN1_17151137	1	17151138	17151138	chr1	5.83293288820476	0	0.001
160	160	MN1_17181992	MN1_17181992	1	17181985	17181985	chr1	5.22809195679792	0	0.003
161	161	PERL0147872	PERL0147872	1	17476656	17476656	chr1	5.14034524566443	0	0.003
162	162	MN1_17682799	MN1_17682799	1	17682800	17682800	chr1	5.12173726614898	0	0.003
163	163	MN1_17880459	MN1_17880459	1	17880460	17880460	chr1	5.86489681175329	0	0.001
164	164	MN1_18040860	MN1_18040860	1	18040861	18040861	chr1	6.0413382998912	0	0.001
165	165	MN1_18232105	MN1_18232105	1	18232105	18232105	chr1	6.26465792665497	0	0
166	166	MN1_18632912	MN1_18632912	1	18632907	18632907	chr1	6.55248304483786	0	0
167	167	MN1_18633081	MN1_18633081	1	18633076	18633076	chr1	6.6370840748587	0	0
168	168	MASC00545	MASC00545	1	18947634	18947634	chr1	6.15871224472529	0	0
169	169	MN1_19400778	MN1_19400778	1	19400777	19400777	chr1	6.62774652601384	0	0
170	170	MASC00855	MASC00855	1	19438636	19438636	chr1	6.85009747111653	0	0
171	171	MN1_19506032	MN1_19506032	1	19506033	19506033	chr1	6.80371160087302	0	0
172	172	MN1_19519292	MN1_19519292	1	19519343	19519343	chr1	8.23510998522156	0	0
173	173	MN1_19782301	MN1_19782301	1	19782459	19782459	chr1	7.94468509383518	0	0
174	174	MN1_19782567	MN1_19782567	1	19782568	19782568	chr1	9.10706321878092	0	0
175	175	MASC03754	MASC03754	1	20030865	20030865	chr1	9.48544992022352	0	0
176	176	MASC01983	MASC01983	1	20139509	20139509	chr1	9.68246138491979	0	0
177	177	MN1_20174828	MN1_20174828	1	20174829	20174829	chr1	10.0605179907842	0	0
178	178	NMSNP1_20175347	NMSNP1_20175347	1	NA	NA	chr1	9.4068325916771	0	0
179	179	MASC00497	MASC00497	1	20314114	20314114	chr1	9.44265485686432	0	0
180	180	PERL0172350	PERL0172350	1	20357576	20357576	chr1	9.3850623242155	0	0
181	181	PERL0173191	PERL0173191	1	20514445	20514445	chr1	9.35609995651789	0	0
182	182	PERL0174281	PERL0174281	1	20686612	20686612	chr1	9.6124374871585	0	0
183	183	MASC03676	MASC03676	1	20766165	20766165	chr1	10.0632280863104	0	0
184	184	MASC00513	MASC00513	1	20806858	20806858	chr1	10.5551505161435	0	0
185	185	MASC07288	MASC07288	1	20971834	20971834	chr1	10.6106426791361	0	0
186	186	MN1_21079881	MN1_21079881	1	21079882	21079882	chr1	10.7345635269999	0	0
187	187	MN1_21080288	MN1_21080288	1	21080289	21080289	chr1	11.1599182933137	0	0
188	188	MASC00290	MASC00290	1	21140728	21140728	chr1	11.9525528318491	0	0
189	189	MASC07198	MASC07198	1	21381939	21381939	chr1	12.3716103233324	0	0
190	190	NMSNP1_21401093	NMSNP1_21401093	1	NA	NA	chr1	12.2481272623854	0	0
191	191	NMSNP1_21401646	NMSNP1_21401646	1	NA	NA	chr1	12.0126870453656	0	0
192	192	MN1_21669171	MN1_21669171	1	21669172	21669172	chr1	13.0967712358832	0	0
193	193	MN1_21669564	MN1_21669564	1	21669565	21669565	chr1	12.8517865348016	0	0
194	194	MN1_21908389	MN1_21908389	1	21908604	21908604	chr1	12.4612058113751	0	0
195	195	MN1_21944762	MN1_21944762	1	21944763	21944763	chr1	12.7036427316799	0	0
196	196	NMSNP1_22283511	NMSNP1_22283511	1	NA	NA	chr1	12.1555473433903	0	0
197	197	MASC04170	MASC04170	1	22289897	22289897	chr1	11.8407926347328	0	0
198	198	MASC02598	MASC02598	1	22290232	22290232	chr1	11.2312604180875	0	0
199	199	MN1_22354107	MN1_22354107	1	22354108	22354108	chr1	11.2221629573258	0	0
200	200	NMSNP1_22388154	NMSNP1_22388154	1	NA	NA	chr1	10.8509380291605	0	0
201	201	MN1_22971216	MN1_22971216	1	22971216	22971216	chr1	10.0149576897056	0	0
202	202	MN1_23077276	MN1_23077276	1	23077275	23077275	chr1	8.87617438629732	0	0
203	203	MN1_23270514	MN1_23270514	1	23270515	23270515	chr1	7.68418175587817	0	0
204	204	MN1_23270852	MN1_23270852	1	23270632	23270632	chr1	8.04901277724004	0	0
205	205	MN1_23474588	MN1_23474588	1	23474584	23474584	chr1	7.8884860980395	0	0
206	206	MN1_23820732	MN1_23820732	1	23820733	23820733	chr1	6.59351665087595	0	0
207	207	MN1_23893336	MN1_23893336	1	23893337	23893337	chr1	6.53878249462781	0	0
208	208	MASC03447	MASC03447	1	24040919	24040919	chr1	6.62869383693867	0	0
209	209	MN1_24322296	MN1_24322296	1	24322358	24322358	chr1	5.86902133295759	0	0.001
210	210	FT_585	FT_585	1	24334363	24334363	chr1	6.71087773158135	0	0
211	211	FT_1643	FT_1643	1	24335382	24335382	chr1	6.7521327791548	0	0
212	212	FT_2940	FT_2940	1	24336669	24336669	chr1	6.65714897689933	0	0
213	213	FT_3485	FT_3485	1	24337212	24337212	chr1	6.86968654011177	0	0
214	214	NMSNP1_24396180	NMSNP1_24396180	1	NA	NA	chr1	6.61636021428225	0	0
215	215	MN1_24468414	MN1_24468414	1	24468415	24468415	chr1	6.28489351464352	0	0
216	216	NMSNP1_24526295	NMSNP1_24526295	1	NA	NA	chr1	6.45424066695768	0	0
217	217	MN1_24694673	MN1_24694673	1	24694674	24694674	chr1	6.41832175786995	0	0
218	218	NMSNP1_24738247	NMSNP1_24738247	1	NA	NA	chr1	7.01326427557706	0	0
219	219	RGL1_1171	RGL1_1171	1	24751936	24751936	chr1	6.60121042985335	0	0
220	220	RGL1_1511	RGL1_1511	1	24752276	24752276	chr1	6.93998627914614	0	0
221	221	MN1_24795166	MN1_24795166	1	24795167	24795167	chr1	6.92549587008351	0	0
222	222	SGCSNP10530	SGCSNP10530	1	25031165	25031165	chr1	6.15121033594775	0	0
223	223	MN1_25375953	MN1_25375953	1	25375952	25375952	chr1	5.2346079883893	0	0.003
224	224	MN1_25487722	MN1_25487722	1	25487722	25487722	chr1	4.81727314763333	0	0.005
225	225	FKF1_447	FKF1_447	1	25511762	25511762	chr1	4.88835781641758	0	0.005
226	226	FKF1_606	FKF1_606	1	25511891	25511891	chr1	4.23496550966861	0	0.013
227	227	FKF1_2281	FKF1_2281	1	25513560	25513560	chr1	4.57713505805333	0	0.005
228	228	MASC00557	MASC00557	1	25738759	25738759	chr1	3.50396514362519	0	0.075
229	229	PERL0234167	PERL0234167	1	25741450	25741450	chr1	4.08597585006149	0	0.021
230	230	PERL0235052	PERL0235052	1	25853591	25853591	chr1	4.04599717994869	0	0.023
231	231	PERL0236029	PERL0236029	1	25979570	25979570	chr1	4.25830501376709	0	0.012
232	232	MN1_26278413	MN1_26278413	1	26278414	26278414	chr1	3.96877006637468	0	0.026
233	233	MASC00516	MASC00516	1	26408790	26408790	chr1	3.8942081019069	0	0.031
234	234	MASC03684	MASC03684	1	26450427	26450427	chr1	3.57091047054652	0	0.064
235	235	MN1_26454394	MN1_26454394	1	26454392	26454392	chr1	3.70097991368371	0	0.048
236	236	MASC02946	MASC02946	1	26507545	26507545	chr1	4.27007251125258	0	0.011
237	237	NMSNP1_26685638	NMSNP1_26685638	1	NA	NA	chr1	5.0451564436742	0	0.004
238	238	MN1_26787727	MN1_26787727	1	26787728	26787728	chr1	5.22618235510446	0	0.003
239	239	MN1_26795231	MN1_26795231	1	26795232	26795232	chr1	5.41134272350247	0	0.003
240	240	MASC00553	MASC00553	1	26799323	26799323	chr1	5.26586169015348	0	0.003
241	241	NMSNP1_26894598	NMSNP1_26894598	1	NA	NA	chr1	5.06374190377725	0	0.004
242	242	MASC02765	MASC02765	1	26972608	26972608	chr1	4.70568552644212	0	0.005
243	243	MN1_26993261	MN1_26993261	1	26993243	26993243	chr1	4.53978230448232	0	0.005
244	244	MN1_27251404	MN1_27251404	1	27251405	27251405	chr1	4.32826668052183	0	0.01
245	245	MN1_27291170	MN1_27291170	1	27291171	27291171	chr1	3.90640319776042	0	0.029
246	246	MN1_27650077	MN1_27650077	1	27650078	27650078	chr1	3.68372397168749	0	0.051
247	247	MASC00664	MASC00664	1	27803119	27803119	chr1	3.6788349921372	0	0.051
248	248	NMSNP1_27855784	NMSNP1_27855784	1	NA	NA	chr1	3.94572594346879	0	0.026
249	249	MASC00850	MASC00850	1	28140438	28140438	chr1	4.41046442309641	0	0.009
250	250	MN1_28190283	MN1_28190283	1	28190284	28190284	chr1	4.5693280227062	0	0.005
251	251	MN1_28408707	MN1_28408707	1	28408708	28408708	chr1	4.60336004892575	0	0.005
252	252	MN1_28584258	MN1_28584258	1	28584259	28584259	chr1	4.84389719011947	0	0.005
253	253	MASC02069	MASC02069	1	28598296	28598296	chr1	4.9998435711723	0	0.005
254	254	MN1_28666837	MN1_28666837	1	28666838	28666838	chr1	5.07900066039293	0	0.004
255	255	SGCSNP10779	SGCSNP10779	1	28835488	28835488	chr1	5.13071402409923	0	0.003
256	256	MASC03765	MASC03765	1	28889762	28889762	chr1	5.13380348480452	0	0.003
257	257	MASC04717	MASC04717	1	28980496	28980496	chr1	5.34192882410706	0	0.003
258	258	MN1_29326678	MN1_29326678	1	29326608	29326608	chr1	5.60262276993723	0	0.002
259	259	MN1_29326774	MN1_29326774	1	29326773	29326773	chr1	5.52571471661882	0	0.002
260	260	NMSNP1_29393465	NMSNP1_29393465	1	NA	NA	chr1	5.5494316227908	0	0.002
261	261	MASC00675	MASC00675	1	29489827	29489827	chr1	5.22583830895093	0	0.003
262	262	MASC07393	MASC07393	1	29491814	29491814	chr1	5.22937694985524	0	0.003
263	263	MN1_29496859	MN1_29496859	1	29496860	29496860	chr1	5.15828959198654	0	0.003
264	264	MN1_29612426	MN1_29612426	1	29612427	29612427	chr1	5.01480531664072	0	0.005
265	265	MN1_29696345	MN1_29696345	1	29696346	29696346	chr1	4.3363558040493	0	0.01
266	266	MASC07257	MASC07257	1	29818888	29818888	chr1	4.24751908936528	0	0.012
267	267	NMSNP1_29898175	NMSNP1_29898175	1	NA	NA	chr1	3.88632842115316	0	0.032
268	268	MN1_30049220	MN1_30049220	1	30049221	30049221	chr1	3.37755170188757	0	0.089
269	269	MN1_30116495	MN1_30116495	1	30116496	30116496	chr1	3.03780343996485	0	0.15
270	270	MN1_30214313	MN1_30214313	1	30214314	30214314	chr1	2.84757514160954	0	0.21
271	271	MN1_30312456	MN1_30312456	1	30312457	30312457	chr1	2.35197221952545	0.002	0.459
272	272	MN1_30312683	MN1_30312683	1	30312684	30312684	chr1	2.77807625087376	0	0.245
273	273	MASC02050	MASC02050	1	30319942	30319942	chr1	2.77607549375075	0	0.246
274	274	MASC09206	MASC09206	1	30353096	30353096	chr1	2.75657514864070	0	0.254
1	1	RGA_2019	RGA_2019	1	256331	256331	chr2	1.23308418593290	0.067	0.991
2	2	RGA_1671	RGA_1671	1	256679	256679	chr2	1.23944330739727	0.067	0.991
3	3	RGA_1023	RGA_1023	1	257327	257327	chr2	1.26453317711989	0.065	0.989
4	4	MN2_285851	MN2_285851	1	285852	285852	chr2	1.32691750985510	0.052	0.98
5	5	MN2_286127	MN2_286127	1	286129	286129	chr2	1.31787522219027	0.058	0.982
6	6	NMSNP2_311254	NMSNP2_311254	1	NA	NA	chr2	1.36021812271475	0.054	0.975
7	7	MN2_311552	MN2_311552	1	311554	311554	chr2	1.27812331711216	0.065	0.989
8	8	MN2_322690	MN2_322690	1	322691	322691	chr2	1.06494274745141	0.1	1
9	9	MN2_347772	MN2_347772	1	347764	347764	chr2	0.817498103414238	0.169	1
10	10	NMSNP2_453319	NMSNP2_453319	1	NA	NA	chr2	0.781227468757248	0.188	1
11	11	MN2_592845	MN2_592845	1	592840	592840	chr2	0.713182199700602	0.211	1
12	12	MN2_694239	MN2_694239	1	694241	694241	chr2	0.686962447433361	0.223	1
13	13	MN2_764549	MN2_764549	1	764529	764529	chr2	0.600774760087851	0.266	1
14	14	NMSNP2_839805	NMSNP2_839805	1	NA	NA	chr2	0.627912627185631	0.255	1
15	15	MN2_948609	MN2_948609	1	948610	948610	chr2	0.645480012695752	0.25	1
16	16	MASC05477	MASC05477	1	1125046	1125046	chr2	0.61534822086708	0.259	1
17	17	MN2_1149628	MN2_1149628	1	1149629	1149629	chr2	0.785458029610887	0.181	1
18	18	MN2_1737583	MN2_1737583	1	1737584	1737584	chr2	0.770555606914286	0.188	1
19	19	MN2_1798378	MN2_1798378	1	1798380	1798380	chr2	0.710407405813819	0.203	1
20	20	NMSNP2_1798607	NMSNP2_1798607	1	NA	NA	chr2	0.836945437566408	0.167	1
21	21	MASC06808	MASC06808	1	2026926	2026926	chr2	0.947998717375154	0.122	1
22	22	MN2_2270500	MN2_2270500	1	2270501	2270501	chr2	1.04042728710732	0.102	1
23	23	MN2_2615632	MN2_2615632	1	2615633	2615633	chr2	1.19006096274520	0.075	0.996
24	24	MASC05962	MASC05962	1	2996449	2996449	chr2	1.14756546579526	0.08	0.997
25	25	MASC05827	MASC05827	1	3052992	3052992	chr2	1.13961514694045	0.081	0.999
